classifier,f1-score_0,f1-score_1,f1-score_Macro Avg,f1-score_Micro Avg,precision_0,precision_1,precision_Macro Avg,precision_Micro Avg,recall_0,recall_1,recall_Macro Avg,recall_Micro Avg
GradientBoostingClassifier,0.8384305534835148,0.5285154549412278,0.6834730042123713,0.7709379320231946,0.8828149544454916,0.46089597570235386,0.6718554650739228,0.7909303768525416,0.7982954545454546,0.6193877551020408,0.7088416048237477,0.7593333333333333
RandomForestClassifier,0.8832286260584539,0.4904648390941597,0.6868467325763068,0.7976934013417853,0.8504734350341925,0.589541547277937,0.7200074911560648,0.7936482683672746,0.9186079545454545,0.41989795918367345,0.669252956864564,0.81
LogisticRegression,0.6393604598940087,0.41531964467744287,0.5273400522857258,0.5905693490246233,0.8695333496213047,0.29060525779498675,0.5800693037081457,0.74345567629024,0.5055397727272727,0.7275510204081632,0.6165453965677179,0.5538888888888889
GaussianNB,0.25347985347985347,0.3767584097859327,0.31511913163289307,0.28032718351984404,0.9026086956521739,0.2354140127388535,0.5690113541955137,0.7573085202621619,0.1474431818181818,0.9428571428571428,0.5451501623376623,0.32066666666666666
