classifier,f1-score_0,f1-score_1,f1-score_Macro Avg,f1-score_Micro Avg,precision_0,precision_1,precision_Macro Avg,precision_Micro Avg,recall_0,recall_1,recall_Macro Avg,recall_Micro Avg
GradientBoostingClassifier,0.892623716153128,0.46440452428476375,0.6785141202189459,0.7993670921462398,0.8413376917274328,0.6673040152963671,0.7543208535118999,0.8034370244157785,0.9505681818181818,0.35612244897959183,0.6533453153988869,0.8211111111111111
RandomForestClassifier,0.8875906526994358,0.4613899613899614,0.6744903070446986,0.7947736132587059,0.8416963830871116,0.6245644599303136,0.7331304215087127,0.7944098753774088,0.938778409090909,0.36581632653061225,0.6522973678107606,0.814
LogisticRegression,0.8778054862842892,0.0,0.4389027431421446,0.6866389581601551,0.7822222222222223,0.0,0.39111111111111113,0.6118716049382716,1.0,0.0,0.5,0.7822222222222223
GaussianNB,0.3736017897091723,0.38189845474613693,0.3777501222276546,0.37540861898388905,0.8789473684210526,0.24366197183098592,0.5613046701260193,0.7405963264969936,0.2372159090909091,0.8826530612244898,0.5599344851576995,0.37777777777777777
